attraction,region,county,district,cru,category,category_detail,2011_visitors,2012_visitors,2013_visitors,2014_visitors,2015_visitors,charge,charge_band,size
1066 Battle Abbey and Battlefield,SE,East Sussex,Rother,Rural,Historic Properties,Historic Monument/ Archaeological Site,134158,116907,113396,111990,106784,Paid,£7.50 to £9.99,"100,001-200,000"
A la Ronde,SW,Devon,East Devon,Coastal,Historic Properties,Historic House / House and Garden / Palace,45471,45965,49765,51849,53000,Paid,£7.50 to £9.99,"50,001-100,000"
Abbey House Museum,Y&H,WEST YORKSHIRE,Leeds,Urban,Museums & Art Galleries,Museum and / or Art Gallery,86995,84543,81332,79876,82907,Paid,£3.01 to £4.99,"50,001-100,000"
Abbey Pumping Station,EM,Leicestershire,Leicester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,47128,45724,55999,54798,48225,Free,Free,"20,001-50,000"
Abbot Hall Art Gallery,NW,Cumbria,South Lakeland,Urban,Museums & Art Galleries,Museum and / or Art Gallery,13425,17654,19462,22140,21306,Paid,£5.00 to £7.49,"20,001-50,000"
Brighton Pier,SE,East Sussex,Brighton and Hove,Coastal,Other,Other,3995000,4000000,4000000,4500000,4600000,Free,Free,"Over 200,000"
Acorn Bank Garden,NW,Cumbria,Eden,Rural,Gardens,Garden,26494,26196,28416,30459,32037,Paid,£5.00 to £7.49,"20,001-50,000"
Acorn Farm,NW,Merseyside,Knowsley,Urban,Farms,Farm / Rare Breeds / Farm Animals,56784,61033,64360,77108,86584,Paid,Under £3.00,"50,001-100,000"
Adlington Hall & Gardens,NW,Cheshire,Cheshire East,Rural,Historic Properties,Historic House / House and Garden / Palace,1679,2000,2100,1662,2393,Paid,£7.50 to £9.99,"10,000 or less"
Adventure Valley,NE,County Durham,Durham,Rural,Leisure / Theme Parks,Leisure / Theme Park,116982,112647,131390,139748,149141,Paid,£7.50 to £9.99,"100,001-200,000"
"Agricultural Museum, Brook",SE,Kent,Ashford,Rural,Museums & Art Galleries,Museum and / or Art Gallery,610,200,400,365,335,Paid,Under £3.00,"10,000 or less"
Aldborough Roman Site,Y&H,North Yorkshire,Harrogate,Rural,Historic Properties,Historic Monument/ Archaeological Site,2454,2569,2821,2457,3306,Paid,£3.01 to £4.99,"10,000 or less"
Alexandra Park and Palace,LON,Greater London,,Urban,Historic Properties,Other Historic Property,2200000,2343221,2654332,2700000,2800000,Free,Free,"Over 200,000"
Alfriston Clergy House,SE,East Sussex,Wealden,Urban,Historic Properties,Historic House / House and Garden / Palace,27000,27200,24500,23500,23000,Paid,£5.00 to £7.49,"20,001-50,000"
Ashmolean Museum,SE,Oxfordshire,Oxford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,739339,844340,754957,875407,848359,Free,Free,"Over 200,000"
Westminster Abbey,LON,Greater London,Westminster,Urban,Places of Worship,Place of Worship (still in use),1899956,1776369,2020637,1786106,1664850,Paid,Charge - DK,"Over 200,000"
Allen Banks and Staward Gorge,NE,Northumberland,Northumberland,Rural,Other,Other,20765,25443,29876,30555,39265,Free,Free,"20,001-50,000"
Allerton Castle,Y&H,North Yorkshire,Knaresborough,Rural,Historic Properties,Historic House / House and Garden / Palace,20876,14355,1765,1680,1346,Paid,£7.50 to £9.99,"10,000 or less"
Allgates Brewery Tour,NW,Cheshire,Cheshire East,Urban,Workplace,Distillery / Vineyard or Brewery,12433,1754,1645,1773,1549,Paid,£10.00 or over,"10,000 or less"
Almonry Heritage Centre,WM,Worcestershire,Evesham,Urban,Visitor Centres,Heritage / Visitor Centre,7643,6543,5404,4136,3536,Paid,£5.00 to £7.49,"10,000 or less"
Amberley Museum & Heritage Centre,SE,West Sussex,Horsham,Rural,Museums & Art Galleries,Museum and / or Art Gallery,27000,31000,33000,35000,42000,Paid,£10.00 or over,"20,001-50,000"
American Museum in Britain,SW,Somerset,Bath and North East Somerset,Rural,Museums & Art Galleries,Museum and / or Art Gallery,42343,43543,45765,55016,32973,Paid,£10.00 or over,"20,001-50,000"
Amersham Museum,SE,Buckinghamshire,Chiltern,Rural,Museums & Art Galleries,Museum and / or Art Gallery,2474,2850,8974,5473,5210,Paid,Under £3.00,"10,000 or less"
St Paul's Cathedral,LON,Greater London,City of London,Urban,Places of Worship,Place of Worship (still in use),1819925,1789974,2138130,1782741,1609325,Paid,£10.00 or over,"Over 200,000"
Anglers Country Park,Y&H,WEST YORKSHIRE,Wakefield,Rural,Country Parks,Country Park,150000,200000,200000,200000,250000,Free,Free,"Over 200,000"
"Anglesey Abbey, Gardens and Lode Mill",EAST,Cambridgeshire,East Cambridgeshire,Rural,Historic Properties,Historic House / House and Garden / Palace,278505,251963,278505,315631,332958,Paid,£10.00 or over,"Over 200,000"
Anne Hathaway's Cottage,WM,Warwickshire,Stratford-on-Avon,Rural,Historic Properties,Historic House / House and Garden / Palace,149654,149876,147261,136914,136900,Paid,£7.50 to £9.99,"100,001-200,000"
Antony House and Garden,SW,Cornwall,Cornwall,Rural,Historic Properties,Historic House / House and Garden / Palace,40854,29127,27096,25786,26932,Paid,£7.50 to £9.99,"20,001-50,000"
Apethorpe Hall,EM,Northamptonshire,East Northamptonshire,Rural,Historic Properties,Historic House / House and Garden / Palace,1084,807,298,375,709,Paid,£7.50 to £9.99,"10,000 or less"
Apsley House,LON,Greater London,Westminster,Urban,Historic Properties,Historic House / House and Garden / Palace,43216,37355,39385,32668,50064,Paid,£7.50 to £9.99,"50,001-100,000"
Arbeia Roman Fort and Museum,NE,Tyne and Wear,South Tyneside,Coastal,Historic Properties,Historic Monument / Archaeological Site,49292,45320,33704,31559,32289,Free,Free,"20,001-50,000"
Archbishop's Palace Southwell,EM,Nottinghamshire,,Rural,Historic Properties,Historic House / House and Garden / Palace,79853,82342,83000,86094,91956,Free,Free,"50,001-100,000"
Arctic Corsair,Y&H,EAST RIDING OF YORKSHIRE,Kingston upon Hull,Urban,Museums & Art Galleries,Museum and / or Art Gallery,8746,8765,7363,9876,9733,Free,Free,"10,000 or less"
Arley Arboretum,WM,Worcestershire,Wyre Forest,Rural,Gardens,Garden,14543,15766,16543,17946,31941,Paid,£5.00 to £7.49,"20,001-50,000"
Arlington Court,SW,Devon,North Devon,Rural,Historic Properties,Historic House / House and Garden / Palace,94875,90514,84631,82997,91113,Paid,£7.50 to £9.99,"50,001-100,000"
Oxford University Museum of Natural History,SE,Oxfordshire,Oxford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,554159,548672,60876,644747,640092,Free,Free,"Over 200,000"
Royal Victoria Country Park,SE,Hampshire,Eastleigh,Rural,Country Parks,Country Park,235894,276543,300000,320000,500000,Free,Free,"Over 200,000"
Arundel Wetland Centre,SE,West Sussex,Arun,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,102595,88500,87900,88085,93329,Paid,£10.00 or over,"50,001-100,000"
Ashby de la Zouch Castle,EM,Leicestershire,North West Leicestershire,Rural,Historic Properties,Castle / Fort,17947,14741,16192,15215,15164,Paid,£3.01 to £4.99,"10,001-20,000"
Ashdown House,SE,Oxfordshire,Vale of White Horse,Rural,Historic Properties,Historic House / House and Garden / Palace,2090,1800,2703,4071,4421,Paid,£5.00 to £7.49,"10,000 or less"
Alice Holt Forest Park,SE,Hampshire,East Hampshire,Rural,Other,Other,390000,397233,391854,464796,424129,Free,Free,"Over 200,000"
Pitt Rivers Museum,SE,Oxfordshire,Oxford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,349787,372542,338494,423603,417775,Free,Free,"Over 200,000"
Ashridge Estate,EAST,Hertfordshire,Dacorum,Rural,Other,Other,17314,15359,18500,17275,18613,Paid,Charge - DK,"10,001-20,000"
Wendover Woods,SE,Buckinghamshire,Aylesbury Vale,Rural,Country Parks,Country Park,355543,355543,376545,387542,397138,Free,Free,"Over 200,000"
Astbury Mere Country Park,NW,Cheshire,Cheshire East,Rural,Country Parks,Country Park,191292,223980,182868,221436,183000,Free,Free,"100,001-200,000"
Astley Cheetham Art Gallery,NW,Greater Manchester,Tameside,Urban,Museums & Art Galleries,Museum and / or Art Gallery,16011,5273,147,936,513,Free,Free,"10,000 or less"
Astley Green Colliery Museum,NW,Greater Manchester,Wigan,Rural,Museums & Art Galleries,Museum and / or Art Gallery,7000,6525,6000,7000,8000,Free,Free,"10,000 or less"
Athelstan Museum,SW,Wiltshire,Wiltshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,13762,13617,14327,14800,13500,Free,Free,"10,001-20,000"
Atkinson Museum (second floor),NW,Merseyside,Sefton,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,45000,46543,48653,50624,51473,Free,Free,"50,001-100,000"
Attenborough Nature Centre,EM,Nottinghamshire,Broxtowe,Urban,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,240125,213000,217000,230000,233000,Free,Free,"Over 200,000"
Attingham Park,WM,Shropshire,Shropshire,Rural,Historic Properties,Historic House / House and Garden / Palace,315535,350302,370000,386006,402300,Paid,£10.00 or over,"Over 200,000"
Attingham Park Estate: Cronkhill,WM,Shropshire,Shropshire,Rural,Historic Properties,Other Historic Property,2500,2800,2800,3000,3000,Paid,£3.01 to £4.99,"10,000 or less"
